,model,auc,accuracy,f1,mcc
0,Randomforest,0.5816135084427768,0.6129032258064516,0.4193548387096774,0.1938249801598767
1,SVM,0.5974437148217636,0.6075268817204301,0.535031847133758,0.1972492236342881
2,XGboosting,0.5730534709193246,0.5860215053763441,0.49673202614379086,0.14931943980886223
3,LogisticRegression,0.613156660412758,0.6236559139784946,0.5512820512820512,0.2295666739085953
