,model,auc,accuracy,f1,mcc
0,Randomforest,0.6048076923076924,0.6804733727810651,0.782258064516129,0.28724022079862777
1,SVM,0.7730769230769231,0.7988165680473372,0.8440366972477065,0.567093375319919
2,XGboosting,0.6673076923076923,0.7218934911242604,0.7999999999999999,0.3899346299944945
3,LogisticRegression,0.7432692307692308,0.7692307692307693,0.8202764976958524,0.5028718095996361
