,model,auc,accuracy,f1,mcc
0,Randomforest,0.6964472309299895,0.7043010752688172,0.6451612903225806,0.4070592899935597
1,SVM,0.7330198537095088,0.7365591397849462,0.7065868263473054,0.4696801633523506
2,XGboosting,0.7035876001393243,0.7096774193548387,0.6625,0.41606184488366466
3,LogisticRegression,0.7222222222222222,0.7258064516129032,0.6946107784431137,0.4479162095946183
