,model,auc,accuracy,f1,mcc
0,Randomforest,0.6662267471091001,0.7297297297297297,0.537037037037037,0.38937161847917595
1,SVM,0.7669683257918551,0.7675675675675676,0.7074829931972789,0.5204399692899612
2,XGboosting,0.6830065359477124,0.7081081081081081,0.5970149253731343,0.36838211327386927
3,LogisticRegression,0.7498743086978381,0.745945945945946,0.6887417218543046,0.48446215471241444
