,model,auc,accuracy,f1,mcc
0,Randomforest,0.5815015889830508,0.7272727272727273,0.3013698630136986,0.2878326080744892
1,SVM,0.6826006355932204,0.7593582887700535,0.5544554455445544,0.40668169490903966
2,XGboosting,0.6949814618644068,0.7700534759358288,0.5742574257425742,0.4342558344840906
3,LogisticRegression,0.6572431144067796,0.7058823529411765,0.5299145299145299,0.31595393703473146
