,model,auc,accuracy,f1,mcc
0,Randomforest,0.6682611815355177,0.7005347593582888,0.5757575757575758,0.3557624928338994
1,SVM,0.7386390815594355,0.7433155080213903,0.6883116883116882,0.4717259457298251
2,XGboosting,0.6806386032049749,0.6844919786096256,0.624203821656051,0.35558213058952365
3,LogisticRegression,0.7474886390815595,0.7540106951871658,0.6973684210526315,0.4908850372274912
